Volgorde;group_straatadvertenties/Foto_advertentie;Link Sciensano Server;group_straatadvertenties/Foto_advertentie_URL;Record_your_current_location;lat;lon;group_straatadvertenties/_Record_your_current_location_latitude;group_straatadvertenties/_Record_your_current_location_longitude;group_straatadvertenties/_Record_your_current_location_altitude;group_straatadvertenties/_Record_your_current_location_precision;_index;_parent_table_name;_parent_index;_submission__id;_submission__uuid;_submission__submission_time;_submission__validation_status;_submission__notes;_submission__status;_submission__submitted_by;_submission__tags;Type advertentie;public transport (Y/N);Promo char;Desc promo char;Premium offers;Desc premium offer;Nr food;Naam voedingsmiddel;Merk voedingsmiddel;Category (WHO);UPF;Gezond leven voedingscategorie;Gezond leven voorkeursindeling;Opmerkingen
1;1656932028672.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656932028672.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656932028672.jpg;50.9289183 4.4175033 68.69999999999999 4.6;509.289.183;44.175.033;509.289.183;44.175.033;6.869.999.999.999.990;4.6;1;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;1;Y;11;Made of fusion;;;;Infused black tea, peach hibiscus, low in calories;Fuzetea;4d;4;1;C;
2;1656939906207.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656939906207.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656939906207.jpg;50.9291067 4.4215682 74.9 1.45;509.291.067;44.215.682;509.291.067;44.215.682;74.9;1.45;2;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;4;N;;;;;1;Gebak;Bakkerij - gebakje Vilvoorde;2;4;13;E;
3;1656939906207.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656939906207.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656939906207.jpg;50.9291067 4.4215682 74.9 1.45;509.291.067;44.215.682;509.291.067;44.215.682;74.9;1.45;2;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;4;N;;;;;2;Belegd broodje;Bakkerij - gebakje Vilvoorde;9;4;ND;;
4;1656939906207.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656939906207.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656939906207.jpg;50.9291067 4.4215682 74.9 1.45;509.291.067;44.215.682;509.291.067;44.215.682;74.9;1.45;2;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;4;N;;;;;3;Koffie;Bakkerij - gebakje Vilvoorde;4e;1;1;F;
5;1656939926918.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656939926918.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656939926918.jpg;50.9291639 4.4215493 74.69999999999999 2.0;509.291.639;44.215.493;509.291.639;44.215.493;7.469.999.999.999.990;2;3;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;5;N;;;;;1;Appel  ;Corner;NA;;NA;;
6;1656939926918.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656939926918.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656939926918.jpg;50.9291639 4.4215493 74.69999999999999 2.0;509.291.639;44.215.493;509.291.639;44.215.493;7.469.999.999.999.990;2;3;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;9;N;1;Jupiler stier;;;2;;Jupiler;A;5;A;;
7;1656939989540.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656939989540.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656939989540.jpg;50.9291302 4.4215646 80.8 1.766;509.291.302;44.215.646;509.291.302;44.215.646;80.8;1.766;4;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;1;N;;;1, 2;Stem op favoriete terras via app, win 100.000 euro;;;Lipton;4d;4;1;E;
8;1656940310993.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656940310993.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656940310993.jpg;50.9316419 4.4208359 65.5 1.4;509.316.419;44.208.359;509.316.419;44.208.359;65.5;1.4;6;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;1;N;11;Bruisend en fruitig;;;;Gearomatiseerde licht-bruisende drank met chaudfontaine water, framboos-limoen, zonder kcal, zonder suiker ;Chaudfontaine;4e;4;1;F;
9;1656941736398.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656941736398.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656941736398.jpg;50.9301717 4.4218467 75.1 1.866;509.301.717;44.218.467;509.301.717;44.218.467;75.1;1.866;7;Voedingsadvertenties;1;167636204;0;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;6;N;;;;;;;Banket zaal;9;4;ND;;
10;1656941791454.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656941791454.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656941791454.jpg;50.9304033 4.4219583 77.1 2.3;509.304.033;44.219.583;509.304.033;44.219.583;77.1;2.3;8;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;8;N;3;Amateur wielrenner;;;;;De sportapotheek;NA;;NA;;Twijfel
