img_id;location;lat;lon;alt;loc_precision;_index;_parent_index;type_ad;public_transport;marketing_str;marketing_str_desc;prem_offer;prem_offer_desc;nr_food;Naam voedingsmiddel;brand;who_cat;UPF;Gezond leven voedingscategorie;Gezond leven voorkeursindeling;comments
1656932028672.jpg;50.9289183 4.4175033 68.69999999999999 4.6;509.289.183;44.175.033;6.869.999.999.999.990;4.6;1;1;1;Y;11;Made of fusion;;;;Infused black tea, peach hibiscus, low in calories;Fuzetea;4d;4;1;C;
1656939906207.jpg;50.9291067 4.4215682 74.9 1.45;509.291.067;44.215.682;74.9;1.45;2;1;4;N;;;;;1;Gebak;Bakkerij - gebakje Vilvoorde;2;4;13;E;
1656939906207.jpg;50.9291067 4.4215682 74.9 1.45;509.291.067;44.215.682;74.9;1.45;2;1;4;N;;;;;2;Belegd broodje;Bakkerij - gebakje Vilvoorde;9;4;ND;;
1656939906207.jpg;50.9291067 4.4215682 74.9 1.45;509.291.067;44.215.682;74.9;1.45;2;1;4;N;;;;;3;Koffie;Bakkerij - gebakje Vilvoorde;4e;1;1;F;
1656939926918.jpg;50.9291639 4.4215493 74.69999999999999 2.0;509.291.639;44.215.493;7.469.999.999.999.990;2;3;1;5;N;;;;;1;Appel  ;Corner;NA;;NA;;
1656939926918.jpg;50.9291639 4.4215493 74.69999999999999 2.0;509.291.639;44.215.493;7.469.999.999.999.990;2;3;1;9;N;1;Jupiler stier;;;2;;Jupiler;A;5;A;;
1656939989540.jpg;50.9291302 4.4215646 80.8 1.766;509.291.302;44.215.646;80.8;1.766;4;1;1;N;;;1, 2;Stem op favoriete terras via app, win 100.000 euro;;;Lipton;4d;4;1;E;
1656940310993.jpg;50.9316419 4.4208359 65.5 1.4;509.316.419;44.208.359;65.5;1.4;6;1;1;N;11;Bruisend en fruitig;;;;Gearomatiseerde licht-bruisende drank met chaudfontaine water, framboos-limoen, zonder kcal, zonder suiker ;Chaudfontaine;4e;4;1;F;
1656941736398.jpg;50.9301717 4.4218467 75.1 1.866;509.301.717;44.218.467;75.1;1.866;7;1;6;N;;;;;;;Banket zaal;9;4;ND;;
1656941791454.jpg;50.9304033 4.4219583 77.1 2.3;509.304.033;44.219.583;77.1;2.3;8;1;8;N;3;Amateur wielrenner;;;;;De sportapotheek;NA;;NA;;Twijfel
1656941912257.jpg;50.9308779 4.4226866 65.6 2.28;509.308.779;44.226.866;65.6;2.28;9;1;4;N;;;;;1;Vlees;Boucherie;13;1;12;D;
1656941912257.jpg;50.9308779 4.4226866 65.6 2.28;509.308.779;44.226.866;65.6;2.28;9;1;4;N;;;;;2;Groenten   ;Boucherie;15;1;2;A;
