Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6815fcad5a7f94577276331c,5d164f9b1a4be700176367bd,APPROVED,Not Applicable,2025-05-03T11:23:42.288000Z,2025-05-03T11:43:47.570000Z,2025-05-04T09:34:45.778000Z,2025-05-03T11:43:48.043684Z,1206.0,CHJ3VM7X,1921,"French, English",29,Male,Asian,France,France,France,French,No,Full-Time
6815fcb9bde45a661c36d297,65ae99a9048963a67ab5f27c,APPROVED,Not Applicable,2025-05-03T11:23:47.458000Z,2025-05-03T11:43:06.047000Z,2025-05-04T09:34:46.058000Z,2025-05-03T11:43:06.590962Z,1159.0,CHJ3VM7X,193,"English, Turkish, Dutch",37,Male,White,Turkey,Netherlands,Turkey,Turkish,Yes,Full-Time
6815fcc923c3ab89684a3587,5f92f97ed0f407056dfd3268,APPROVED,Not Applicable,2025-05-03T11:23:57.063000Z,2025-05-03T11:31:12.226000Z,2025-05-04T09:34:46.306000Z,2025-05-03T11:31:12.761652Z,436.0,CHJ3VM7X,1513,"French, English",31,Male,White,France,France,France,French,No,Full-Time
6815fcd9dbd26b5d0094ddc3,66a111758ee7f4fcb0b55c17,APPROVED,Not Applicable,2025-05-03T11:24:12.412000Z,2025-05-03T11:39:43.402000Z,2025-05-04T09:34:46.557000Z,2025-05-03T13:02:22.058017Z,931.0,CHJ3VM7X,520,"English, French",32,Male,White,France,France,France,English,No,Full-Time
6815fcda14a01f2a79b72c70,5e7bd2a32b3c38208b6b0992,APPROVED,Not Applicable,2025-05-03T11:30:31.002000Z,2025-05-03T11:50:49.249000Z,2025-05-04T09:34:46.789000Z,2025-05-03T11:50:49.766483Z,1219.0,CHJ3VM7X,422,"French, English",35,Male,White,France,France,France,French,No,Full-Time
6815fce9458d5554d7b6d342,6100b7d1d121da73b60c7b6e,APPROVED,Not Applicable,2025-05-03T11:24:25.882000Z,2025-05-03T11:34:14.584000Z,2025-05-04T09:34:47.168000Z,2025-05-03T11:34:15.148056Z,589.0,CHJ3VM7X,1572,"Arabic, French, English",26,Male,Mixed,Morocco,France,Morocco,Arabic,No,Full-Time
6815fcebe4e9f1788b90d39d,6135114bbaa4bbcf19b4f479,APPROVED,Not Applicable,2025-05-03T11:24:34.774000Z,2025-05-03T11:40:04.979000Z,2025-05-04T09:34:47.529000Z,2025-05-03T11:40:05.438061Z,931.0,CHJ3VM7X,357,"Dutch, English",27,Male,Asian,Netherlands,Netherlands,Netherlands,English,Yes,Part-Time
6815fcee86a5450327b3b4a0,5fa97213c2ffcd11d7f91e40,APPROVED,Not Applicable,2025-05-03T11:24:34.570000Z,2025-05-03T11:36:18.225000Z,2025-05-04T09:34:47.796000Z,2025-05-03T11:36:18.681865Z,704.0,CHJ3VM7X,624,"Chinese, Dutch, English",45,Female,Asian,Taiwan,Netherlands,Netherlands,Dutch,No,Full-Time
6815fcefbe15e2264f34cdfe,65b50c6bfcbc2780dfa8befd,APPROVED,Not Applicable,2025-05-03T11:24:41.450000Z,2025-05-03T11:39:22.160000Z,2025-05-04T09:34:48.051000Z,2025-05-03T11:39:22.620386Z,881.0,CHJ3VM7X,264,"French, English",31,Female,White,France,France,France,French,No,Full-Time
6815fcf475af6f885dba121f,66ac06020347cd9ba2513744,APPROVED,Not Applicable,2025-05-03T11:24:36.528000Z,2025-05-03T12:01:56.018000Z,2025-05-04T09:34:48.293000Z,2025-05-03T12:01:56.572541Z,2240.0,CHJ3VM7X,240,"English, Spanish",30,Female,White,"Venezuela, Bolivarian Republic of",France,France,English,No,Full-Time
