Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
681601ccd2e07cca05d91eca,65a3ec77f674ac3e98f0c6ac,RETURNED,Not Applicable,2025-05-03T11:45:42.462000Z,,,2025-05-06T13:30:43.854725Z,,,868,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681601d6925ea5d78aff9faa,5dceec6957069f03f4e012a2,APPROVED,Not Applicable,2025-05-03T11:48:53.842000Z,2025-05-03T12:10:35.244000Z,2025-05-04T09:13:28.332000Z,2025-05-03T12:10:35.794123Z,1302.0,CI33ZIL0,1049,Dutch,32,Male,White,Belgium,Belgium,Belgium,Dutch,No,Full-Time
681601f05e5a6b5f7a64e07f,6646086df04e15d0ec6baeb1,APPROVED,Not Applicable,2025-05-03T11:48:01.234000Z,2025-05-03T12:06:40.423000Z,2025-05-04T09:13:28.955000Z,2025-05-03T12:06:40.836950Z,1120.0,CI33ZIL0,314,Dutch,41,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
681601f66b311dd09fdf0e88,5fdb2a32414cb63975e0d9c7,APPROVED,Not Applicable,2025-05-03T11:47:30.559000Z,2025-05-03T11:56:23.719000Z,2025-05-04T09:13:29.236000Z,2025-05-03T11:56:24.279848Z,534.0,CI33ZIL0,1024,Dutch,26,Female,White,Netherlands,Netherlands,Netherlands,Dutch,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
681601ff6b5b46141726624f,66114a0b05f2eab8dffe8205,APPROVED,Not Applicable,2025-05-03T11:46:13.806000Z,2025-05-03T12:03:29.018000Z,2025-05-04T09:13:29.499000Z,2025-05-03T12:03:29.537182Z,1036.0,CI33ZIL0,448,Dutch,42,Male,White,Belgium,Belgium,Belgium,Dutch,No,Full-Time
681602033549a6f452239dfd,6673d540dbbc4f4776678043,RETURNED,Not Applicable,2025-05-03T11:46:28.055000Z,,,2025-05-06T13:30:43.857280Z,,,338,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68160236768fcf69017fd98b,63c552a4fd6bddcff7b288f7,APPROVED,Not Applicable,2025-05-03T11:49:46.507000Z,2025-05-03T12:05:16.473000Z,2025-05-04T09:13:29.796000Z,2025-05-03T12:05:16.946688Z,930.0,CI33ZIL0,828,Dutch,21,Male,White,Netherlands,Netherlands,Netherlands,Dutch,Yes,Unemployed (and job seeking)
681602391d69c81ca670756d,5d59bbe3aaf28300163f7b86,RETURNED,Not Applicable,2025-05-03T11:47:12.889000Z,,,2025-05-06T13:30:43.861011Z,,,796,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681602419a9918d9b580403a,58cd670b7f7f9f0001c2d981,APPROVED,Not Applicable,2025-05-03T11:47:17.110000Z,2025-05-03T11:56:13.769000Z,2025-05-04T09:13:30.084000Z,2025-05-03T11:56:14.262188Z,537.0,CI33ZIL0,244,Dutch,26,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
68160242044e9d1dbf5b2e1d,66a0b8db15402d5e1ac01305,REJECTED,Not Applicable,2025-05-03T11:47:30.599000Z,2025-05-03T11:51:55.445000Z,2025-05-04T09:09:28.941000Z,2025-05-06T13:30:43.865763Z,265.0,CI33ZIL0,98,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6816024af892e64364af98db,65ae99a9048963a67ab5f27c,APPROVED,Not Applicable,2025-05-03T11:47:25.965000Z,2025-05-03T12:10:14.606000Z,2025-05-04T09:13:30.361000Z,2025-05-03T12:10:15.090224Z,1369.0,CI33ZIL0,193,"English, Turkish, Dutch",37,Male,White,Turkey,Netherlands,Turkey,Turkish,Yes,Full-Time
68160251458d5554d7b6d394,65a2c1313cc27e970219a392,APPROVED,Not Applicable,2025-05-03T11:47:36.407000Z,2025-05-03T12:01:34.299000Z,2025-05-04T09:13:30.671000Z,2025-05-03T12:01:34.750235Z,838.0,CI33ZIL0,170,"Dutch, English",24,Male,Other,Belgium,Belgium,Belgium,Dutch,Yes,Due to start a new job within the next month
681602669289d1b0b9a0c673,667d6671700a0254fd678f36,APPROVED,Not Applicable,2025-05-03T11:52:09.275000Z,2025-05-03T12:06:34.229000Z,2025-05-04T09:13:30.961000Z,2025-05-03T12:06:34.718134Z,865.0,CI33ZIL0,94,Dutch,21,Female,White,Belgium,Belgium,Belgium,Dutch,Yes,Other
6816029ccb6f7f3191c24138,63125004cc3ea6da536e34f7,APPROVED,Not Applicable,2025-05-03T11:48:59.516000Z,2025-05-03T12:09:38.710000Z,2025-05-04T09:13:31.249000Z,2025-05-03T12:09:39.135289Z,1240.0,CI33ZIL0,646,Dutch,29,Male,White,Netherlands,Netherlands,Netherlands,Dutch,DATA_EXPIRED,DATA_EXPIRED
681602a6081f6f8e7a6aaa33,664a1299709f284fb63c723c,RETURNED,Not Applicable,2025-05-03T11:58:54.672000Z,,,2025-05-06T13:30:43.862404Z,,,179,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68173197fc88eb4ac35c8313,6106e5fa2185277b70b2dc45,APPROVED,Not Applicable,2025-05-04T09:21:27.559000Z,2025-05-04T09:42:44.242000Z,2025-05-05T09:32:52.169000Z,2025-05-04T09:42:44.764978Z,1277.0,CI33ZIL0,887,Dutch,26,Female,White,Netherlands,Netherlands,Netherlands,Dutch,DATA_EXPIRED,DATA_EXPIRED
681731ac9736fd25d63b6d80,643d4fb3ef2bf62c99ec4394,APPROVED,Not Applicable,2025-05-04T09:21:51.743000Z,2025-05-04T09:32:03.389000Z,2025-05-05T09:32:52.407000Z,2025-05-04T09:32:03.932380Z,612.0,CI33ZIL0,506,"English, Dutch",38,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
681731c0d6fb6b6a52413475,65b8fece61bbe71242f20324,RETURNED,Not Applicable,2025-05-04T09:22:08.300000Z,,,2025-05-06T13:30:43.868724Z,,,585,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681731d994ddebb3a36b811c,5a9eab4f1eda410001368b5b,APPROVED,Not Applicable,2025-05-04T09:22:33.060000Z,2025-05-04T09:37:53.382000Z,2025-05-05T09:32:52.639000Z,2025-05-04T09:37:53.845754Z,921.0,CI33ZIL0,401,Dutch,32,Female,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
6817325e11003a7d58fcde2f,65c1597d7fcd5b05eaca9039,RETURNED,Not Applicable,2025-05-04T09:24:53.839000Z,,,2025-05-06T13:30:43.865348Z,,,44,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68173368002167a6d449a6ad,66a5e349e3e5dc31b47ef2a9,APPROVED,Not Applicable,2025-05-04T09:29:17.004000Z,2025-05-04T09:51:53.110000Z,2025-05-05T09:32:52.855000Z,2025-05-04T09:51:53.635397Z,1357.0,CI33ZIL0,201,"Dutch, English",32,Female,White,Netherlands,Netherlands,Netherlands,Dutch,DATA_EXPIRED,Full-Time
6817345d93a051de351766ff,66cdd1977241a38a11a35452,APPROVED,Not Applicable,2025-05-04T09:33:23.057000Z,2025-05-04T09:59:01.273000Z,2025-05-05T09:32:53.087000Z,2025-05-04T09:59:01.814456Z,1539.0,CI33ZIL0,160,Dutch,34,Female,Mixed,Netherlands,Netherlands,Netherlands,Dutch,No,Other
68173498fd3faaec16205b39,65aa83d1578eec02321e9fd1,APPROVED,Not Applicable,2025-05-04T09:35:26.128000Z,2025-05-04T09:47:23.192000Z,2025-05-05T09:32:53.325000Z,2025-05-04T09:47:23.685727Z,718.0,CI33ZIL0,456,Dutch,30,Male,White,Netherlands,Netherlands,Netherlands,English,No,Full-Time
681734a9d9c6412e3703b0f7,615082e89e3473a3c95df0c5,APPROVED,Not Applicable,2025-05-04T09:34:47.431000Z,2025-05-04T09:46:54.933000Z,2025-05-05T09:32:53.566000Z,2025-05-04T09:46:55.445977Z,728.0,CI33ZIL0,917,"Dutch, French",63,Male,White,Belgium,Belgium,Belgium,Dutch,No,Full-Time
68173513364d5e29f43b7336,5e853ff6367050000b3520d1,APPROVED,Not Applicable,2025-05-04T09:36:23.909000Z,2025-05-04T09:58:48.544000Z,2025-05-05T09:32:53.797000Z,2025-05-04T09:58:49.028462Z,1345.0,CI33ZIL0,864,Dutch,30,Male,White,Netherlands,Netherlands,Netherlands,Dutch,DATA_EXPIRED,DATA_EXPIRED
6817354c289df5dfb95e6d0a,60551c921afebad605bfd329,APPROVED,Not Applicable,2025-05-04T09:37:22.746000Z,2025-05-04T10:07:00.133000Z,2025-05-05T09:32:54.020000Z,2025-05-04T10:07:00.662436Z,1778.0,CI33ZIL0,1445,Dutch,48,Female,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
68173564ac246910412bc098,66c4211e6f5609658bb50633,APPROVED,Not Applicable,2025-05-04T09:37:46.751000Z,2025-05-04T10:05:47.937000Z,2025-05-05T09:32:54.259000Z,2025-05-04T10:05:48.503564Z,1682.0,CI33ZIL0,120,Dutch,62,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Unemployed (and job seeking)
681735778283c9dc16c428d3,6543ac6f9b54c8fb9f6cab8a,APPROVED,Not Applicable,2025-05-04T09:37:59.676000Z,2025-05-04T09:44:37.997000Z,2025-05-05T09:32:55.008000Z,2025-05-04T09:44:38.506932Z,399.0,CI33ZIL0,412,"Dutch, English",29,Male,White,Germany,Netherlands,Netherlands,Dutch,Yes,Full-Time
681735916c512599281f1f96,605f856a958ba27c0300c200,APPROVED,Not Applicable,2025-05-04T09:38:32.913000Z,2025-05-04T09:54:22.567000Z,2025-05-05T09:32:55.255000Z,2025-05-04T09:54:23.088268Z,950.0,CI33ZIL0,760,Dutch,48,Female,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
6817368601200aad2343216d,663fadf96202298784d3711a,APPROVED,Not Applicable,2025-05-04T09:42:36.601000Z,2025-05-04T09:53:56.737000Z,2025-05-05T09:32:55.496000Z,2025-05-04T09:53:57.229085Z,681.0,CI33ZIL0,170,Dutch,27,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
6817368d5d8395b3812fe6d1,614368f935e65dafb1dbd6c1,APPROVED,Not Applicable,2025-05-04T09:42:37.141000Z,2025-05-04T09:53:22.423000Z,2025-05-05T09:32:55.747000Z,2025-05-04T09:53:22.902336Z,646.0,CI33ZIL0,1588,Dutch,33,Male,White,Netherlands,Netherlands,Netherlands,Dutch,DATA_EXPIRED,Full-Time
681736cc70425cb51008591e,5d964f340849000013172b22,APPROVED,Not Applicable,2025-05-04T09:43:43.450000Z,2025-05-04T09:59:44.836000Z,2025-05-05T09:32:56.016000Z,2025-05-04T09:59:45.277123Z,962.0,CI33ZIL0,1022,"Dutch, Chinese, English",35,Female,Asian,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
6817370a632fb81db9c9d418,6471c6a72c7da1e1928da8f6,APPROVED,Not Applicable,2025-05-04T09:44:45.849000Z,2025-05-04T09:58:48.101000Z,2025-05-05T09:32:56.261000Z,2025-05-04T09:58:48.633850Z,843.0,CI33ZIL0,417,Dutch,25,Female,White,Netherlands,Netherlands,Netherlands,Dutch,Yes,Unemployed (and job seeking)
68173736a8a9ed3f80a448cf,6679a3da51eabfa768a8f350,RETURNED,Not Applicable,2025-05-04T09:45:42.948000Z,,,2025-05-06T13:30:43.882045Z,,,273,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6817376116115fb37df5da25,666a850564c4ab8ece818564,APPROVED,Not Applicable,2025-05-04T09:46:17.933000Z,2025-05-04T10:03:49.218000Z,2025-05-05T09:32:56.520000Z,2025-05-04T10:03:49.728685Z,1052.0,CI33ZIL0,267,Dutch,51,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
68173762391583ba9acbc2f9,666467a90cd4b05baa302dc6,APPROVED,Not Applicable,2025-05-04T09:46:15.003000Z,2025-05-04T09:58:14.495000Z,2025-05-05T09:32:56.766000Z,2025-05-04T09:58:15.019033Z,720.0,CI33ZIL0,166,Dutch,32,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
681737c795ba84f2254df74a,5e8cd2f37a67c0086c00688c,APPROVED,Not Applicable,2025-05-04T09:47:51.171000Z,2025-05-04T10:14:28.370000Z,2025-05-05T09:32:57.025000Z,2025-05-04T10:14:28.835358Z,1598.0,CI33ZIL0,817,"Turkish, Dutch, English",33,Male,White,Turkey,Netherlands,Turkey,Turkish,No,Full-Time
681737e9bd7677f7ea9c86a0,5fba2e838d95c8733b1d4be6,APPROVED,Not Applicable,2025-05-04T09:48:31.058000Z,2025-05-04T09:58:52.611000Z,2025-05-05T09:32:57.267000Z,2025-05-04T09:58:53.147278Z,622.0,CI33ZIL0,716,Dutch,37,Male,White,Belgium,Belgium,Belgium,Dutch,No,Full-Time
681737f14346ef3dc86b8967,5f2be3f5d81eaf0009520f8b,APPROVED,Not Applicable,2025-05-04T09:48:38.248000Z,2025-05-04T09:58:37.438000Z,2025-05-05T09:32:57.525000Z,2025-05-04T09:58:37.955947Z,600.0,CI33ZIL0,1258,"Dutch, English",39,Female,Mixed,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
6817381d11e98940a3d65d9f,66d46d9f11f154596d2f11c9,APPROVED,Not Applicable,2025-05-04T09:49:23.917000Z,2025-05-04T10:02:32.628000Z,2025-05-05T09:32:57.780000Z,2025-05-04T10:02:33.080298Z,789.0,CI33ZIL0,252,Dutch,30,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
6817381f2a5327bd563a884b,6640bf6dc2d360209b14ad0a,APPROVED,Not Applicable,2025-05-04T09:49:30.150000Z,2025-05-04T10:14:53.204000Z,2025-05-05T09:32:58.033000Z,2025-05-04T10:14:53.726945Z,1524.0,CI33ZIL0,110,Dutch,33,Male,Mixed,Netherlands,Netherlands,Netherlands,Dutch,No,Part-Time
68173889ccf7dee086a07b16,64358e57d52b9d6775eb35b7,APPROVED,Not Applicable,2025-05-04T09:51:09.600000Z,2025-05-04T10:03:48.783000Z,2025-05-05T09:32:58.294000Z,2025-05-04T10:03:49.291110Z,760.0,CI33ZIL0,234,"Dutch, English",30,Male,White,Netherlands,Netherlands,Netherlands,Dutch,DATA_EXPIRED,DATA_EXPIRED
6817390aeeeaca37febccf60,659eb79e5a25804f46b56cae,APPROVED,Not Applicable,2025-05-04T09:53:23.567000Z,2025-05-04T10:04:57.819000Z,2025-05-05T09:32:58.541000Z,2025-05-04T10:04:58.322215Z,695.0,CI33ZIL0,386,Dutch,34,Female,White,Netherlands,Netherlands,Netherlands,Dutch,No,Part-Time
68173965d72c72132e5844f3,668a9c8a677dc562a445cf82,APPROVED,Not Applicable,2025-05-04T09:54:49.571000Z,2025-05-04T10:08:53.110000Z,2025-05-05T09:32:58.785000Z,2025-05-04T10:08:53.644098Z,844.0,CI33ZIL0,134,Dutch,27,Male,White,Netherlands,Netherlands,Netherlands,Dutch,Yes,Part-Time
68173a924945f8c2806fdf3c,60ff47c59f3aff4127e3f234,APPROVED,Not Applicable,2025-05-04T09:59:50.889000Z,2025-05-04T10:10:12.566000Z,2025-05-05T09:32:59.031000Z,2025-05-04T10:10:13.057899Z,622.0,CI33ZIL0,1137,Dutch,24,Female,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
68173b7c9a8b090574ba51d3,5ae2280338df95000145500c,APPROVED,Not Applicable,2025-05-04T10:03:43.071000Z,2025-05-04T10:12:21.270000Z,2025-05-05T09:32:59.283000Z,2025-05-04T10:12:21.757710Z,519.0,CI33ZIL0,140,Dutch,33,Female,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
68173bd48a31bfbd816c45a9,66a13e4ac71075c482939c66,APPROVED,Not Applicable,2025-05-04T10:05:19.099000Z,2025-05-04T10:18:13.706000Z,2025-05-05T09:32:59.518000Z,2025-05-04T10:18:14.181574Z,775.0,CI33ZIL0,211,Dutch,41,Female,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
